T,M,Time
1,1,0.451161
1,10,16.209660
1,20,30.428397
1,30,44.244480
1,40,50.931856
1,50,60.694634
1,100,60.693147
10,1,0.255568
10,10,2.228637
10,20,3.971201
10,30,5.705320
10,40,6.409915
10,50,7.828560
10,100,7.851579
20,1,0.252566
20,10,1.385194
20,20,2.305200
20,30,3.212876
20,40,3.560020
20,50,4.520421
20,100,4.512690
